Institution_Name,Institution_Address,Institution_City,Institution_State
Intercoast Colleges,"388 W. Cerritos Ave., Building 7",Anaheim,CA
Stone Child College,Upper Bonneau Road,Box Elder,MT
New York Academy of Art,111 Franklin St,New York,NY
Suffolk County Community College,533 College Road,Selden,NY
Las Positas College,3033 Collier Cyn Rd,Livermore,CA
Blades School of Hair Design,"22576-316 MacArthur Blvd, PO Box 226",California,MD
Altamaha Technical College,1777 W Cherry St,Jesup,GA
North Metro Technical College,5198 Ross Rd,Acworth,GA
Ogeechee Technical College,One Joe Kennedy Blvd,Statesboro,GA
Remington College - Mobile Campus,828 Downtowner Loop West,Mobile,AL
Southern Technical College at Fort Myers,1685 Medical Lane,Fort Myers,FL
Mercy/St. Luke's Hospital,1026 A Ave NE,Cedar Rapids,IA
Southwest Acupuncture College - Santa Fe,1622 Galisteo Street,Santa Fe,NM
Northwest Technology Center - Alva,1801 S 11th St,Alva,OK
Mercer County Career Center,776 Greenville Rd,Mercer,PA
California State University - San Marcos,333 S Twin Oaks Valley Rd,San Marcos,CA
Temple Baptist Seminary,1906  Union Avenue,Chattanooga,TN
Baptist Theological Seminary at Richmond,"8040 Villa Park Drive, Suite 250",Richmond,VA
Brightwood College - Modesto Campus,5172 Kiernan Court,Salida,CA
Hairmasters Institute of Cosmetology,506 S McClun St,Bloomington,IL
Hair Arts Academy,1681 North College Avenue,Bloomington,IN
McNally Smith College of Music,19 Exchange Street East,Saint Paul,MN
National Tractor Trailer School Inc,4650 Buckley Rd,Liverpool,NY
Southeastern Institute - Charlotte,5250 77 Center Drive,Charlotte,NC
International Academy of Design and Technology,2000 Green River Drive,Fairmont,WV
Star Career Academy - Brick,150 Brick Boulevard,Brick,NJ
Le Condon Bleu College of Culinary Arts - Pittsburgh,717 Liberty Ave  Clark Bldg,Pittsburgh,PA
New Castle Beauty Academy,314 Washington St,New Castle,PA
NorthWest Arkansas Community College,One College Dr,Bentonville,AR
Center for Employment Training - Oakland,8390 Capwell Dr.,Oakland,CA
Madera Beauty College,325 N Gateway Drive,Madera,CA
Occupational Training Services Inc,8799 Balboa Ave Ste 120,San Diego,CA
Colorado Heights University,3001 South Federal Boulevard,Denver,CO
Brewster Technical Center,2222 North Tampa Street,Tampa,FL
Hodges University,2655 Northbrooke Drive,Naples,FL
St Petersburg Theological Seminary,10830 Navajo Dr,St. Petersburg,FL
Capital Area School of Practical Nursing,2201 Toronto Road,Springfield,IL
Hair Professionals Career College,10321 S Roberts Rd,Palos Hills,IL
Kankakee Academy of Hair Design,100 East 115th Street,Chicago,IL
Alexandria School of Scientific Therapeutics,809 S Harrison St,Alexandria,IN
The Cambridge School of Culinary Arts,2020 Massachusetts Avenue,Cambridge,MA
Hannibal Career and Technical Center,4550 McMasters Ave,Hannibal,MO
Southwest Technology Center,711 W Tamarack Rd,Altus,OK
Western Area Career and Technology Center,688 Western Ave,Canonsburg,PA
Nossi College of Art,590 Cheron Road,Nashville,TN
Mineral County Technical Center,Harley O Staggers Sr Dr Ste 600,Keyser,WV
Hypnosis Motivation Institute,18607 Ventura Blvd Ste 310,Tarzana,CA
Los Angeles ORT College,6435 Wilshire Blvd,Los Angeles,CA
Martinez Adult Education,600 F St,Martinez,CA
Everest College- West Los Angeles,3000 S Robertson Blvd #300,Los Angeles,CA
Thanh Le College School of Cosmetology,12875 Chapman Avenue,Garden Grove,CA
Potomac Massage Training Institute,"8380 Colesville Rd, Ste 600",Silver Spring,MD
Southeastern Technical College,3001 E First St,Vidalia,GA
Empire Beauty School - Malden,384 Main St,Malden,MA
Massachusetts School of Law,500 Federal St,Andover,MA
Dahl's College of Beauty,716 Central Ave,Great Falls,MT
Alliance City Schools Career Centre,530 N Lincoln Avenue,Alliance,OH
Universal Technical Institute,9751 Delegates Dr,Orlando,FL
Erwin Technical College,2010 E Hillsborough Ave,Tampa,FL
Rosel School of Cosmetology,2444 W Devon,Chicago,IL
Worsham College,495 Northgate Pky,Wheeling,IL
Bryan University at Springfield,4247 - 4255 Nature Center Way,Springfield,MO
Toledo Academy of Beauty Culture - North,5020 Lewis Avenue,Toledo,OH
Oregon College of Oriental Medicine,10525 SE Cherry Blossom Dr,Portland,OR
Central Pennsylvania Institute of Science and Technology,540 North Harrison Road,Pleasant Gap,PA
Northwest Educational Center,2910 Antoine B-100,Houston,TX
PCI Health Training Center,8101 John Carpenter Fwy,Dallas,TX
Windham Community Memorial Hospital,112 Mansfield Avenue,Willimantic,CT
Hamrick School,1156 Medina Rd,Medina,OH
Alabama State College of Barber Styling,753 Main St.,Gardendale,AL
Fortis College,7033 Airport Boulevard,Mobile,AL
Arkansas Beauty School,1061 Markham St,Conway,AR
Everest College - Ontario,1460 S. Milliken Ave,Ontario,CA
Huntington College of Health Sciences,117 Legacy View Way,Knoxville,TN
Downey Adult School,12340 Woodruff Ave,Downey,CA
CR'U Institute of Cosmetology and Barbering,11889 Valley View Street,Garden Grove,CA
Modern Technology School,"16560 Harbor Blvd., Units K-Q",Fountain Valley,CA
National Career Education,"11080 White Rock Road, Suite 100",Rancho Cordova,CA
Everest College - Anaheim,"511 North Brookhurst St., Suite 300",Anaheim,CA
North-West College - Glendale,221 North Brand Blvd.,Glendale,CA
Everest College - City of Industry,12801 Crossroads Parkway South,City of Industry,CA
Fremont College - Cerritos,"18000 Studebaker Road, 9th Floor",Cerritos,CA
Pomona Unified School District Adult and Career Education,1515 W Mission Blvd,Pomona,CA
Simi Valley Adult School and Career Institute,1880 Blackstock Street,Simi Valley,CA
Maric College - Anaheim,1360 S Anaheim Blvd,Anaheim,CA
IBMC College - Fort Collins,3842 South Mason Street,Fort Collins,CO
St. Anthony Hospitals - Centura Health,1601 Lowell Blvd.,Denver,CO
"Xenon International Academy III, Inc.",2231 South Peoria Street,Aurora,CO
Career Training Institute,3318 Edgewater Drive,Orlando,FL
Melbourne Beauty School,686 N Wickham Road,Melbourne,FL
Remington College - Honolulu Campus,"1111 Bishop Street, Suite 400",Honolulu,HI
Vatterott College - Des Moines,7000 Fleur Drive,Des Moines,IA
"Xenon International Academy IV, Inc.",1215 E. Santa Fe,Olathe,KS
Baton Rouge College,1900 North Lobdall Avenue,Baton Rouge,LA
Jonesville Beauty School,208 Westside Drive,Vidalia,LA
New England Hair Academy,"110 Florence St., Ste. 203",Malden,MA
Rob Roy Academy,150 Pleasant St,Worcester,MA
Upper Cape Cod Regional Technical School,220 Sandwich Road,Bourne,MA
Johns Hopkins Hospital,600 N Wolfe Street,Baltimore,MD
New England School of Communications,1 College Circle,Bangor,ME
Mr Davids School of Cosmetology Ltd,4000 South Saginaw Street,Flint,MI
Adler Graduate School,1550 East 78th Street,Richfield,MN
Lebanon Technology and Career Center,757 Brice St,Lebanon,MO
Final Touch Beauty School,5700 North Hills Street,Meridian,MS
Universal College of Beauty,1701 W Trade St,Charlotte,NC
Harrison Career Institute - Deptford,1450 Clements Bridge Rd,Deptford,NJ
Harrison Career Institute - Oakhurst,2105 Hwy 35,Oakhurst,NJ
Brightwood College - Las Vegas,3535 W. Sahara Avenue,Las Vegas,NV
Beauty School of Middletown,225 Dolson Ave,Middletown,NY
Continental School of Beauty Culture - Olean,517 North Barry Street,Olean,NY
Yeshiva Gedolah Imrei Yosef D'Spinka,1466 56th St,Brooklyn,NY
Knox County Career Center,306 Martinsburg Rd,Mount Vernon,OH
Madison Adult Career Center,600 Esley Lane,Mansfield,OH
Remington College-Cleveland Campus,14445 Broadway Ave,Cleveland,OH
Toledo Academy of Beauty Culture - East,3341 Navarre Avenue,Oregon,OH
Toledo Academy of Beauty Culture - South,"1554 South Byrne Road, Glenbyrne Center",Toledo,OH
CC's Cosmetology College,8138 East 21st Street,Tulsa,OK
Chisholm Trail Technology Center,"Route 1, Box 60, State Highway 33",Omega,OK
Gordon Cooper Technology Center,1 John C Bruton Blvd,Shawnee,OK
Kiamichi Technology Center - Atoka,"1301 W Liberty Road, PO Box 240",Atoka,OK
Kiamichi Technology Center - Durant,810 Waldron Rd,Durant,OK
Kiamichi Technology Center - Hugo,"107 S 15th Street, PO Box 699",Hugo,OK
Kiamichi Technology Center - McAlester,301 Kiamichi Dr,McAlester,OK
Kiamichi Technology Center - Idabel,3205 NE Lincoln Road,Idabel,OK
Kiamichi Technology Center - Poteau,"1509 S McKenna, PO Box 825",Poteau,OK
Kiamichi Technology Center - Spiro,610 SW Third Street,Spiro,OK
Kiamichi Technology Center - Talihina,13739 SE 202 Rd,Talihina,OK
Le Cordon Bleu College of Culinary Art - Portland,"921 SW Morrison Street, Suite 400",Portland,OR
Clearfield Hospital,809 Turnpike Ave,Clearfield,PA
YTI Career Institute - Altoona,2900 Fairway Dr,Altoona,PA
DPT Business School,11000 Roosevelt Blvd Ste 200,Philadelphia,PA
Eastern Center for Arts and Technology,3075 Terwood Road,Willow Grove,PA
Oakbridge Academy of Arts,1250 Greensburg Rd,Lower Burrell,PA
Harrison Career Institute - Reading,"645 Penn Street, 3rd Floor",Reading,PA
Harrison Career Institute - Jersey City,600 Pavonia Avenue,Jersey City,NJ
Harrison Career Institute - Allentown,2102 Union Blvd,Allentown,PA
Colegio Mayor de Tecnologia Inc,151 Morse Street,Arroyo,PR
Institucion Chaviano de Mayaguez,Calle Ramos Antonini 116 Este,Mayaguez,PR
EDIC College,Calle Genova Num 5 Urb Caguas Norte,Caguas,PR
Liceo de Arte-Diseno y Comercio,"47-49 Acosta St., P.O. Box 1889",Caguas,PR
Instituto Merlix,Calle Betances 24,Bayamon,PR
Universal Technology College of Puerto Rico,111 Comercio St,Aguadilla,PR
Academy of Hair Technology,3715 E North St Ste F,Greenville,SC
Mr. Wayne's School of Unisex Hair Design,170 S Willow Ave,Cookeville,TN
The Center for Cosmetology Education,3099 South Perkins,Memphis,TN
Queen City College,1594 Fort Campbell Blvd,Clarksville,TN
College of the Marshall Islands,PO Box 1258,Majuro,MH
Baylor University Medical Center,3500 Gaston Avenue,Dallas,TX
Lighthouse College,"9400 North Central Expressway, Suite 200",Dallas,TX
American National College,1611- E Spencer,South Houston,TX
Aveda Institute-Houston,1212 D. South Frazier,Conroe,TX
Remington College-Fort Worth Campus,300 E. Loop 820,Fort Worth,TX
School of Automotive Machinists & Technology,1911 Antoine,Houston,TX
Sebring Career Schools,7060 Bissonnet St,Houston,TX
Texas College of Cosmetology,117 Sayles Blvd.,Abilene,TX
Colonial Heights Beauty Academy,3233-B Boulevard,Colonial Heights,VA
Heritage College - Manassas,8255 Shoppers Square,Manassas,VA
Catholic Distance University,115 West Congress Street,Charles Town,WV
Virginia Beach City Public Schools School of Practical Nursing,2925 N Landing Rd,Virginia Beach,VA
Northwest College of Art and Design,16301 Creative Dr NE,Poulsbo,WA
Huntington School of Beauty Culture-Main Campus,"5636 US Route 60 East, Suite #2",Huntington,WV
Valley College - Beckley,"120 New River Town Center, Suite C",Beckley,WV
Valley College - Martinsburg,287 Aikens Ctr Edwin Miller Blvd,Martinsburg,WV
Valley College - Princeton,616 Harrison Street,Princeton,WV
Bellus Academy,13266 Poway Rd,Poway,CA
Capstone College,"1200 North Fair Oaks Avenue, #32",Pasadena,CA
Central Coast College,480 S Main Street,Salinas,CA
Pacific College of Oriental Medicine,7445 Mission Valley Rd Ste 105,San Diego,CA
Artistic Nails and Beauty Academy,"4951 Adamo Drive, Suite 120",Tampa,FL
National Aviation Academy A & P School,6225 Ulmerton Road,Clearwater,FL
Davenport Barber Styling College,730 E Kimberly Rd,Davenport,IA
Cain's Barber College Inc,365 E 51st St,Chicago,IL
Lawton Career Institute,20820 Greenfield Road,Oak Park,MI
Madison Oneida BOCES Verona,4937 Spring Road,Verona,NY
Astrodome Career Centers,"2656 South Loop West, Suite 380",Houston,TX
Center for Advanced Legal Studies,"800 West Sam Houston Pkwy., Suite 100",Houston,TX
Houston Training Schools,103141-10 East Freeway,Houston,TX
Remington College-Houston Campus,3110 Hayes Road Suite 380,Houston,TX
Polytechnic Institute,5206 Airline Dr,Houston,TX
Bay Mills Community College,12214 W Lakeshore Dr,Brimley,MI
Fond du Lac Tribal and Community College,2101 14th St,Cloquet,MN
Northwest Indian College,2522 Kwina Rd,Bellingham,WA
Marinello School of Beauty - Provo,"2230 North University Parkway, Building #5",Provo,UT
Provo College,1450 W 820 N,Provo,UT
Paul Mitchell the School - Provo,480 North 900 East,Provo,UT
Utah College of Massage Therapy Inc,25 South 300 East,Salt Lake City,UT
Center for Employment Training - Escondido,"1151 E  Washington Ave., Ste.  A1",Escondido,CA
Center for Employment Training - Temecula,42066 Avenida Alvarado Suite A,Temecula,CA
Center for Employment Training - Reno,196 S. Wells Avenue,Reno,NV
Colorado School of Traditional Chinese Medicine,"1441 York Street, Suite 202",Denver,CO
"Michigan College of Beauty - Troy, Inc.",3498 Rochester Rd,Troy,MI
Pierre's School of Cosmetology,913 Main Street,Sanford,ME
Phoenix Seminary,"4222 East Thomas Road, Suite 400",Phoenix,AZ
Seattle Vocational Institute,2120 S Jackson,Seattle,WA
Cheeks International Academy of Beauty Culture - Fort Collins,5010 Granite Street,Loveland,CO
Cheeks International Academy of Beauty Culture - Greeley,2547-B 11th Avenue,Greeley,CO
Colorado School of Healing Arts,7655 W Mississippi Ste 100,Lakewood,CO
Remington College,6050 Erin Park Drive,Colorado Springs,CO
Kaplan College - Thornton,"500 E. 84th Ave., W-200",Thornton,CO
New England Culinary Institute at Essex,5 Franklin Street,Essex Junction,VT
John Jay Slidell Beauty College,3144 Pontchartrain Dr,Slidell,LA
Lynwood Community Adult School,4050 Imperial Highway,Lynwood,CA
Mt. Diablo  Adult Education,1266 San Carlos Avenue,Concord,CA
Royale College of Beauty,27485 Commerce Center Dr # D,Temecula,CA
Westech College,9460 Sierra Ave,Fontana,CA
Jackson Memorial Hospital,"1611 NW 12th Avenue, C-250",Miami,FL
Ascension College,320 E Ascension St,Gonzales,LA
Academy of Hair Design Four,3167 Hwy 80 E,Pearl,MS
Vatterott College - Omaha,11818 I Street,Omaha,NE
Sotheby's Institute of Art,570 Lexington Avenue,New York,NY
International Junior College,1315 Ponce de Leon Ave 6th Floor,San Juan,PR
Miller-Motte Technical College - Clarksville,1820 Business Park Dr,Clarksville,TN
Genesis Career College,1505 Noah Court,Lebanon,TN
Brightwood College  - Dallas,"12005 Ford Road, Suite 100",Dallas,TX
Star College of Cosmetology 2,520 E Front St,Tyler,TX
CRI Career Training,929 N 130th St Ste 2,Seattle,WA
Midwest College of Oriental Medicine,"6232 Bankers Road, Suites 5 & 6",Racine,WI
Hacienda La Puente Unified School District-Adult Education,15959 E Gale Ave,City of Industry,CA
La Belle Beauty Academy,2960 SW 8th Street,Miami,FL
Advanced Technical Centers,5600  NW 36 Street Suite 561,Miami Spings,FL
Hawaii Community College,200 W Kawili St,Hilo,HI
Regency Beauty Institute - Winston-Salem,588 Hanes Mall Boulevard,Winston Salem,NC
Long Island Beauty School,544 Rte 111,Hauppauge,NY
Buckeye Career Center,545 University Dr NE,New Philadelphia,OH
Sandusky Adult Education,2130 Hayes Ave,Sandusky,OH
Greater Altoona Career and Technology Center,1500 Fourth Avenue,Altoona,PA
Empire Beauty School - Philadelphia,2632 S Broad Street,Philadelphia,PA
Greater Johnstown Career and Technology Center,445 Schoolhouse Road,Johnstown,PA
Northeastern Hospital,2301 E Allegheny Ave,Philadelphia,PA
UPPER BUCKS COUNTY AREA VOCATIONAL TECHNICAL SCH,3115 RIDGE RD,PERKASIE,PA
"Dance Theatre of Harlem, Inc.",466 West 152nd Street,New York,NY
David Hochstein Memorial Music School,50 North Plymouth Avenue,Rochester,NY
Levine School of Music,2801 Upton Street NW,Washington,DC
Pacific Northwest Ballet School,4649 Sunnyside Avenue N.,Seattle,WA
Settlement Music School,416 Queen Street,Philadelphia,PA
Learning Institute for Beauty Sciences - Brooklyn,2384 86th St,Brooklyn,NY
Harrison Career Institute - Philadelphia,"1619 Walnut Street, 3rd Floor",Philadelphia,PA
Star Career Academy - Philadelphia,2371 Welsh Road,Philadelphia,PA
Antonelli College - Hattiesburg,1500 N 31st Ave,Hattiesburg,MS
North-West College,1840 E 17th St Ste 140,Santa Ana,CA
Kaplan College - Stockton,722 W. March Lane,Stockton,CA
Anthem College - Bryman School,9215 North Black Canyon Hwy.,Phoenix,AZ
"Wilkes-Barre General Hospital/Wilkes-Barre Hospital Company, LLC",575 N. River Street,Wilkes-Barre,PA
Beacon College,105 E Main St,Leesburg,FL
St. Luke's Health System of Kansas City,624 Westport Road,Kansas City,MO
Acupuncture and Integrative Medicine College - Berkeley,2550 Shattuck Ave,Berkeley,CA
Maricopa Community Colleges - Estrella Mountain Community College,3000 North Dysart Road,Avondale,AZ
Heartland Community College,1500 West Raab Road,Normal,IL
University of the Potomac,1401 H Street NW,Washington,DC
Rabbi Jacob Joseph School,One Plainfield Ave,Edison,NJ
Forty-Niner ROP,360 Nevada Street,Auburn,CA
The Salon Professional Academy - Melbourne,"1700 West New Haven Avenue, Suite 540A",Melbourne,FL
Fortis Institute - Scranton,517 Ash Street,Scranton,PA
Milan Institute of Cosmetology,2400 SE 27th Ave.,Amarillo,TX
Everglades University,"5002 T-Rex Avenue, Suite 100",Boca Raton,FL
Audio Recording Technology Institute,4525 Vineland Rd Ste 201b,Orlando,FL
Seminar L'Moros Bais Yaakov,4409 15th Avenue,Brooklyn,NY
Blanton-Peale Institute,3 West 29th St.,New York,NY
Brevard Community College,3865 N. Wickham Road,Melbourne,FL
Coral Ridge Nurses Assistant Training School Inc,2740 E Oakland Pk Blvd,Fort Lauderdale,FL
School of Piano Technology for the Blind,2510 E Evergreen Blvd,Vancouver,WA
Fairview Academy,22610 Lorain Road,Fairview Park,OH
Florida College of Natural Health,2001 W Sample Rd Ste 100,Pompano Beach,FL
National College,1638 Bell Road,Nashville,TN
Bristow Academy,365 Golden Knights Blvd.,Titusville,FL
GECAC Training Institute,1006 W 10th St,Erie,PA
College of Biblical Studies-Houston,7000 Regency Square Blvd.,Houston,TX
Inner State Beauty School,5150 Mayfield Road,Lyndhurst,OH
Sylvia's International School of Beauty,434 Parker Rd,Houston,TX
"Mid-East CTC, Adult Education",400 Richards Road,Zanesville,OH
Institute of Culinary Education,225 Liberty St.,New York,NY
New York International Beauty School Ltd,500 Eighth Avenue 8th Floor,New York,NY
Polaris Career Center,7285 Old Oak Blvd,Middleburg Heights,OH
Rensselaer-Columbia-Greene BOCES - Rensselaer Education Center,35 Industrial Park Road,Troy,NY
ASM Beauty World Academy,6423 Stirling Road,Davie,FL
School of Hair Design,1437 SE Washington,Idabel,OK
Sharps Academy of Hair Styling,8166 N Holly Rd,Grand Blanc,MI
ICC Technical Institute,3333 Fannin Ste #203,Houston,TX
The College of Health Care Professions,240 Northwest Mall,Houston,TX
"Watkins College of Art, Design & Film",2298 Metrocenter Blvd,Nashville,TN
Zarem Golde ORT Technical Institute,5440 Fargo Avenue,Skokie,IL
Alhambra Beauty College,200 W Main St,Alhambra,CA
Asian American International Beauty College,7871 Westminster Blvd,Westminster,CA
Avance Beauty College,750 Beyer Way,San Diego,CA
Capistrano Laguna Beach ROP,31522 El Camino Real,San Juan Capistrano,CA
Center for Employment Training - Santa  Ana,120 W Fifth St Ste 120,Santa Ana,CA
International Christian Education,"3807 Wilshire Blvd., #730",Los Angeles,CA
Colton-Redlands-Yucaipa Regional Occupational Program,1214 Indiana Court,Redlands,CA
Copper Mountain College,6162 Rotary Way,Joshua Tree,CA
DVS College,"3325 Wilshire Blvd, Ste 200 SUITE 200",Los Angeles,CA
Escuelas Leicester,1940 S Figueroa St,Los Angeles,CA
Lyles College of Beauty,3125 W Shaw Ave,Fresno,CA
Bristol University,"2390 East Orangewood Avenue, Suite 485",Anaheim,CA
Los Angeles Recording School,6690 Sunset Boulevard,Hollywood,CA
UEI College - Fresno,"3602 N. Blackstone, Ste. 0268",Fresno,CA
Mt Sierra College,800 Royal Oaks Dr.,Monrovia,CA
WyoTech - Long Beach,2161 Technology Place,Long Beach,CA
Santiago Canyon College,8045 E Chapman,Orange,CA
Southern California Institute of Technology,525 North Muller Street,Anaheim,CA
Soka University of America,1 University Drive,Aliso Viejo,CA
Summit College,851 South Cooley Drive,Colton,CA
Advance Beauty College,10121 Westminster Ave,Garden Grove,CA
Career Colleges of America - South Gate,5612 East Imperial Highway,South Gate,CA
Yo San University of Traditional Chinese Medicine,13315 W. Washington Boulevard,Los Angeles,CA
Tri-State Cosmetology Institute 1,1120 Vista De Oro,El Paso,TX
Cass Civilian Conservation Job Corps Center,21424 North Highway 23,Ozark,AR
Turner Job Corps Center - Albany,2000 Schilling Ave.,Albany,GA
Flatwoods Civilian Conservation Center,2803 Dungannon Road,Coeburn,VA
American Health Science University,"1010 South Joliet, Suite 107",Aurora,CO
Schiller International University,8560 Ulmerton Road,Largo,FL
Vatterott College - Springfield,3850 South Campbell,Springfield,MO
Vatterott College - Joplin,809 Illinois,Joplin,MO
Vatterott College - Kansas City,4131 N. Corrington Ave.,Kansas City,MO
Coconino County Community College,2800 S. Lone Tree Rd.,Flagstaff,AZ
Sanford-Brown College at Jacksonville,10255 Fortune Pky Unit 501,Jacksonville,FL
Sunbridge College,285 Hungry Hollow Rd,Spring Valley,NY
Tri State Semi Driver Training Inc,6690 Germantown Rd,Middletown,OH
Franklin Academy,"1605 Professional Park, NW",Cleveland,TN
Technical Career Institute,"7757 West Flagler St, Suite 230",Miami,FL
PJ's College of Cosmetology - Plainfield,2026 Strafford Road,Plainfield,IN
ASA College,151 Lawrence Street,Brooklyn,NY
Nationwide Beauty Academy,5300 West Pointe Plaza Drive,Columbus,OH
Yeshivas Novominsk,1690 60th St,Brooklyn,NY
INTERNATIONAL BUSINESS SCHOOL-SHERMAN CAMPUS,4107 N TEXOMA PKY,SHERMAN,TX
Kiamichi Technology Center - Stigler,1410 Old Military Road,Stigler,OK
Cleveland Clinic - Main Campus,9500 Euclid Ave.,Cleveland,OH
Rabbinical College of Ohr Shimon Yisroel,215-217 Hewes St,Brooklyn,NY
Carroll Community College,1601 Washington Rd,Westminster,MD
Southeastern Beauty College,3535 Macon Road,Columbus,GA
Sarasota School of Massage Therapy,5899 Whitfield Avenue,Sarasota,FL
Wright Career College,10700 Metcalf Ave.,Overland Park,KS
"Providence-Providence Park Hospital, Southfield Campus",16001 West Nine Mile Road,Southfield,MI
Greater Southern Tier BOCES,459 Philo Road,Elmira,NY
Delaware-Chenango-Madison-Otsego BOCES,6678 County Rd 32,Norwich,NY
DCI Career Institute,366 Beaver Valley Mall,Monaca,PA
Central Susquehanna Intermediate Unit LPN Career,90 Lawton Lane,Milton,PA
Myotherapy College of Utah,336 W. Bugatti Drive,Salt Lake City,UT
Graham Webb International Academy of Hair,"1621 North Kent Street, #1617LL",Arlington,VA
Connecticut Center for Massage Therapy - Westport,25 Sylvan Rd South,Westport,CT
G Skin and Beauty Institute,1200 Harger Road,Oak Brook,IL
Mr. John's School of Cosmetology and Nails,300 S. Broadway St. Suite 111,Urbana,IL
Cosmetology Training Center,5520 Johnston St. Suite H2,Lafayette,LA
Stage One - The Hair School,209 West College Street,Lake Charles,LA
"Xenon International Academy II, Inc.",8516 Park Drive,Omaha,NE
Esthetics Institute at Concord Academy,20 S Main St,Concord,NH
Orlo School of Hair Design and Cosmetology,232 North Allen St,Albany,NY
Delaware Area Career Center,4565 Columbus Pike,Delaware,OH
Eastland Fairfield Career and Technical Schools,4300 Amalgamated Pl,Groveport,OH
Empire Beauty School - Cincinnati,8419 Colerain Avenue,Cincinnati,OH
Mahoning County Career and Technical Center,7300 N Palmyra Rd,Canfield,OH
Ohio Hi-Point Adult and Continuing Education,2280 St Rte 540,Bellefontaine,OH
Pickaway-Ross Career and Technology Center,1410 Industrial Drive,Chillicothe,OH
Pioneer Career and Technology Center,27 Ryan Rd,Shelby,OH
Scioto County Career Technical Center,951 Vern Riffe Drive,Lucasville,OH
Trumbull Career and Technical Center Adult Training Center,1776 Salt Springs Road,Warren,OH
Northwest Technology Center-Fairview,801 Tech Dr,Fairview,OK
Lake Erie College of Osteopathic Medicine,1858 W Grandview Blvd,Erie,PA
Southern Methodist College,541 Broughton St,Orangeburg,SC
Gene Juarez Academy South Seattle,2222 So. 314 St,Federal Way,WA
Beckley Beauty Academy,109 S Fayette St,Beckley,WV
Warren County Career Center,3525 N St Rt 48,Lebanon,OH
Paul Mitchell The School Wichita,"3242 North Rock Road, Suite #106",Wichita,KS
Pinnacle Institute of Cosmetology,461 East Plaza Drive,Mooresville,NC
Texas State Technical College Marshall,"2650 E End Blvd, South",Marshall,TX
Aurora St. Luke's Medical Center,180 West Grange Avenue,Milwaukee,WI
Florida National University,4425 West 20 Avenue,Hialeah,FL
Harid Conservatory,2285 Potomac Road,Boca Raton,FL
Georgia Institute of Cosmetology,1496 Buford Highway,Sugar Hill,GA
Nouvelle Institute,3271 NW 7th St Ste 106,Miami,FL
Franklin Technology Center,3950 E. Newman Road,Joplin,MO
Carson City Beauty Academy,1851 South Roop Street,Carson,NV
Professional Technical Institution,Calle Comerio Final 20.5  La Aldea,Bayamon,PR
Academy of Cosmetology,5117 Dorchester Road,North Charleston,SC
International City Beauty College,1859 Watson Blvd,Warner Robins,GA
Erikson Institute,451 North LaSalle Street,Chicago,IL
Star Technical Institute,1570 Garrett Rd,Upper Darby,PA
South Texas College,3201 W Pecan,McAllen,TX
Dudley Beauty School - Kernersville,900 East Mountain Street,Kernersville,NC
Lorain CountyJVS/Adult Career Center,15181 State Route 58,Oberlin,OH
Roger Williams University School of Law,Ten Metacom Ave,Bristol,RI
California State University - Monterey Bay,100 Campus Ctr,Seaside,CA
Heritage College,7202 S. I-35 Service Road,Oklahoma City,OK
Sage College,"12125 Day Street, Bldg. L",Moreno Valley,CA
Lincoln Technical Institute - Hartford,85 Sigourney Street,Hartford,CT
Ohio Media School,"9885 Rockside Rd., Ste. 160",Valley View,OH
EINE Inc,1501 Main St Ste 50,Tewksbury,MA
Laurus Technical Institute,523 Church Street,Decatur,GA
Illinois School of Health Careers - Chicago,"220 S State Street, Suite 600",Chicago,IL
"Marian College, Marian Health Career Center","3325 Wilshire Boulevard, Suite 1010",Los Angeles,CA
Euclid Hospital/Cleveland Clinic Health System,18901 Lakeshore Blvd,Euclid,OH
Michigan Montessori Teacher Education Center,4860 Midland Avenue,Waterford,MI
Academy for Practical Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201,West Palm Beach,FL
Shear Ego International School of Hair Design,525 Titus Ave,Rochester,NY
Remington College-Memphis Campus,2710 Nonconnah Blvd,Memphis,TN
PC Professor - Boca Raton,7056 Beracasa Way,Boca Raton,FL
Trend Beauty College,21 Town and County Shopping Center,Marion,IL
Fayette Institute of Technology,300 West Oyler Avenue,Oak Hill,WV
Capella University,"225 South 6th Street, 9th Floor",Minneapolis,MN
Montessori Training Center of Minnesota,1611 Ames Avenue,St. Paul,MN
HRDE-Stanley Technical Institute - Morgantown,1644 Mileground,Morgantown,WV
College of Menominee Nation,N172 State Highway 47&55,Keshena,WI
Leech Lake Tribal College,6945 Littlewolf Road NW,Cass Lake,MN
Southwest Acupuncture College - Albuquerque,7801 Academy Road NE,Albuquerque,NM
East San Gabriel Valley Regional Occupational Program,1501 W Del Norte St.,West Covina,CA
Yukon Beauty College Inc,221 West Main,Yukon,OK
Toni & Guy Hairstyling Academy - Marietta,1311 Roswell Rd,Marietta,GA
Mitchell's Hair Styling Academy,1301 Buck Jones Rd,Raleigh,NC
The Salon Academy,440 Marshall Street,Coldwater,MI
The Artistic Academy of Hair Design,"301 Gibraltar Drive, Suite 1-A",Morris Plains,NJ
MotoRing Technical Training Institute (MTTI),1241 Fall River Avenue,Seekonk,MA
Phagans' Newport Academy of Cosmetology Careers,158 E Olive Street,Newport,OR
Mech-Tech College,"Calle B, No. 39-40 , Caguas West Industrial Park",Caguas,PR
