Institution_Name,Institution_Address,Institution_City,Institution_State
Imagine - Paul Mitchell Partner School,4201 East McCain Blvd.,North Little Rock,AR
National Park College,101 College Dr,Hot Springs,AR
University of Arkansas Community College-Batesville,2005 White Drive,Batesville,AR
Harding University,915 E. Market Ave.,Searcy,AR
Henderson State University,1100 Henderson St,Arkadelphia,AR
Hendrix College,1600 Washington Ave,Conway,AR
Hot Springs Beauty College,100 Cones Rd,Hot Springs,AR
JRMC School of Nursing,1600 West 40th,Pine Bluff,AR
John Brown University,2000 W University St,Siloam Springs,AR
Lee's School of Cosmetology,2700 West Pershing Boulevard,North Little Rock,AR
Career Academy of Hair Design,346 East Robinson Avenue,Springdale,AR
Little Rock Job Corp Center,2020 Vance Street,Little Rock,AR
Marsha Kay Beauty College,408 Hwy 201 N,Mountain Home,AR
Academy of Salon and Spa,311 South 16th Street,Fort Smith,AR
Mid-South Community College,2000 W.  Broadway,West Memphis,AR
Arkansas Northeastern College,2501 South Division Street,Blytheville,AR
"Margaret's Hair Academy, Inc.","1509 East Main Street, Suite #2",Russellville,AR
New Tyler Barber College Inc,1221 E 7th St,North Little Rock,AR
North Arkansas College,1515 Pioneer Dr,Harrison,AR
Northwest Technical Institute,709 S Old Missouri Road,Springdale,AR
Ouachita Baptist University,410 Ouachita St,Arkadelphia,AR
College of the Ouachitas,One College Cir,Malvern,AR
Ozarka College,218 College Dr,Melbourne,AR
University of the Ozarks,415 N College Ave,Clarksville,AR
University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,AR
Philander Smith College,900 W. Daisy Bates Drive,Little Rock,AR
Phillips Community College of the University of Arkansas,1000 Campus Dr,Helena,AR
Southeast Arkansas College,1900 South Hazel Street,Pine Bluff,AR
Professional Cosmetology Education Center,460 North Washington Avenue,El Dorado,AR
Pulaski Technical College,3000 West Scenic Drive,North Little Rock,AR
University of Arkansas Community College-Hope,2500 S Main,Hope,AR
Rich Mountain Community College,1100 College Dr,Mena,AR
Paul Mitchell The School Arkansas,4156 North Steele Boulevard,Fayetteville,AR
CHI-St. Vincent Infirmary,Two St. Vincent Circle,Little Rock,AR
Searcy Beauty College Inc,1004 South Main Street,Searcy,AR
Williams Baptist College,60 W Fulbright Avenue,Walnut Ridge,AR
South Arkansas Community College,300 S West Ave,El Dorado,AR
Southern Arkansas University Main Campus,100 E. University,Magnolia,AR
Southern Arkansas University Tech,P.O. Box 3499,Camden,AR
Velvatex College of Beauty Culture,1520 Martin Luther King Dr,Little Rock,AR
University of Arkansas-Fort Smith,5210 Grand Ave P.O. Box 3649,Fort Smith,AR
Abram Friedman Occupational Center,1646 S Olive,Los Angeles,CA
Academy of Art University,79 New Montgomery,San Francisco,CA
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA
Academy of Radio and Television Broadcasting,"16052 Beach Boulevard, Suite 263N",Huntington Beach,CA
Academy Pacific Travel College,1777 N Vine St,Los Angeles,CA
Avalon School of Cosmetology - Alameda,2318 Central Ave,Alameda,CA
College of Alameda,555 Ralph Appezzato Memorial Parkway,Alameda,CA
Allan Hancock College,800 S College Dr,Santa Maria,CA
American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA
American Film Institute,2021 North Western Avenue,Los Angeles,CA
American Beauty College,646 South Sunset Avenue,West Covina,CA
American Career College,4021 Rosewood Avenue,Los Angeles,CA
American Conservatory Theater,30 Grant Avenue 7th Floor,San Francisco,CA
American Graduate University,733 North Dodsworth Avenue,Covina,CA
American River College,4700 College Oak Dr,Sacramento,CA
Everest Institute - Hayward,22336 Main Street,Hayward,CA
Antelope Valley College,3041 W Ave K,Lancaster,CA
Art Center College of Design,1700 Lida St,Pasadena,CA
Associated Technical College,1670 Wilshire Blvd,Los Angeles,CA
Azusa Pacific University,901 E Alosta Ave,Azusa,CA
Bakersfield College,1801 Panorama Dr,Bakersfield,CA
Barstow Community College,2700 Barstow Road,Barstow,CA
Bellus Academy - National City,1520 East Plaza Blvd,National City,CA
Bethany University,800 Bethany Dr,Scotts Valley,CA
Bethesda University,730 North Euclid St,Anaheim,CA
Biola University,13800 Biola Ave,La Mirada,CA
Brooks College,4825 E. Pacific Coast Hwy,Long Beach,CA
Brownson Technical School,1110 Technology Cir Ste D,Anaheim,CA
Butte College,3536 Butte Campus Drive,Oroville,CA
Phillips Graduate University,19900 Plummer Street,Chatsworth,CA
California Institute of Integral Studies,1453 Mission St,San Francisco,CA
Cabrillo College,6500 Soquel Dr,Aptos,CA
California Baptist University,8432 Magnolia Ave,Riverside,CA
University of California Hastings College of Law,200 McAllister St,San Francisco,CA
California Institute of Technology,1200 E California Blvd,Pasadena,CA
California Lutheran University,60 W Olsen Rd,Thousand Oaks,CA
California Polytechnic State University-San Luis Obispo,1 Grand Avenue,San Luis Obispo,CA
Alliant International University,10455 Pomerado Road,San Diego,CA
California State University - Bakersfield,9001 Stockdale Hwy,Bakersfield,CA
California State University - Stanislaus,One University Circle,Turlock,CA
California State University - San Bernardino,5500 University Pky,San Bernardino,CA
"California State Polytechnic University, Pomona",3801 W Temple Ave,Pomona,CA
California State University - Chico,400 West First Street,Chico,CA
California State University - Dominguez Hills,1000 E Victoria St,Carson,CA
California State University - Fresno,5241 N Maple Ave,Fresno,CA
California State University - Fullerton,800 N State College Blvd,Fullerton,CA
California State University - East Bay,25800 Carlos Bee Blvd,Hayward,CA
California State University - Long Beach,1250 Bellflower Blvd,Long Beach,CA
California State University - Los Angeles,5151 State University Dr,Los Angeles,CA
California State University - Northridge,18111 Nordhoff St,Northridge,CA
California State University - Sacramento,6000 J St,Sacramento,CA
"University of California, Berkeley",200 California Hall,Berkeley,CA
University of California - Davis,One Shields Avenue,Davis,CA
"University of California, Irvine",510 Aldrich Hall,Irvine,CA
University of California - Los Angeles,405 Hilgard Ave,Los Angeles,CA
"University of California, Riverside",900 University Ave,Riverside,CA
University of California - San Diego,9500 Gilman Dr,La Jolla,CA
"University of California, San Francisco","500 Parnassus Avenue, MU200W",San Francisco,CA
"University of California, Santa Barbara",552 University Road,Santa Barbara,CA
"University of California, Santa Cruz",1156 High St,Santa Cruz,CA
Sofia University,1069 East Meadow Circle,Palo Alto,CA
Mountain Oaks Adult Education Center,1600 California Drive,Vacaville,CA
California Beauty College,1115 Fifteenth Street,Modesto,CA
California Christian College,5364 E. Belmont Avenue,Fresno,CA
California Coast University,925 North Spurgeon Street,Santa Ana,CA
California College-San Diego,"6602 Convoy Ct., Ste. 100",San Diego,CA
California Hair Design Academy,"8011 University Avenue, Suite A-2",La Mesa,CA
California Institute of the Arts,24700 W McBean Pky,Valencia,CA
California State University Maritime Academy,200 Maritime Academy Drive,Vallejo,CA
California Western School of Law,225 Cedar St,San Diego,CA
Canada College,4200 Farm Hill Blvd.,Redwood City,CA
College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,CA
Career Academy of Beauty,12471 Valley View,Garden Grove,CA
Casa Loma College,6725 Kester Avenue,Van Nuys,CA
Center for Employment Training - San Diego,3295 Market St,San Diego,CA
Center for Employment Training,701 Vine St,San Jose,CA
Center for Employment Training - Riverside,"9960 Indiana Ave., Ste. # 9",Riverside,CA
Cerritos College,11110 Alondra Blvd,Norwalk,CA
Cerro Coso Community College,3000 College Hts Blvd,Ridgecrest,CA
Chabot College,25555 Hesperian Blvd,Hayward,CA
Chaffey College,5885 Haven Ave,Rancho Cucamonga,CA
Chapman University,One University Dr.,Orange,CA
Charles R. Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA
Concordia University Irvine,1530 Concordia West,Irvine,CA
San Diego Christian College,200 Riverview Parkway,Santee,CA
Church Divinity School of the Pacific,2451 Ridge Road,Berkeley,CA
Citrus College,1000 W Foothill Blvd,Glendora,CA
City College of San Francisco,50 Phelan Ave,San Francisco,CA
Claremont Graduate University,150 E Tenth St,Claremont,CA
Claremont McKenna College,500 E 9th St,Claremont,CA
Milan Institute - Visalia,6500 S. Mooney Blvd,Visalia,CA
Clovis Adult Education,1452 David E Cook Way,Clovis,CA
Coastline Community College,11460 Warner Ave,Fountain Valley,CA
Cogswell Polytechnical College,191 Baypointe Parkway,San Jose,CA
Coleman University,8888 Balboa Ave,San Diego,CA
Coba Cosmetology Academy,102 N. Glassell Street,Orange,CA
National Polytechnic College of Science,272 S Fries Ave l  Los Angeles Harbor,Wilmington,CA
Western University of Health Sciences,309 E Second Street College Plaza,Pomona,CA
Columbia College,11600 Columbia College Dr,Sonora,CA
Columbia College Hollywood,18618 Oxnard Street,Tarzana,CA
Morgan Hill Community Adult School,17940 Monterey Road,Morgan Hill,CA
Compton Community College,1111 East Artesia Blvd.,Compton,CA
Western Beauty Institute,8700 Van Nuys Blvd,Panorama City,CA
Contra Costa College,2600 Mission Bell Dr,San Pablo,CA
Cosumnes River College,8401 Center Pky,Sacramento,CA
Crafton Hills College,11711 Sand Canyon Road,Yucaipa,CA
Crenshaw-Washington Community Adult School,5010 - 11th Avenue,Los Angeles,CA
Cuesta College,Highway 1,San Luis Obispo,CA
Cuyamaca College,900 Rancho San Diego Pky,El Cajon,CA
Cypress College,9200 Valley View,Cypress,CA
De Anza College,21250 Stevens Creek Blvd.,Cupertino,CA
Marinello School of Beauty - Hemet,2627 W Florida Ave Ste 100,Hemet,CA
